Date,Category,Trending_Keyword,Trend_Score,Search_Intent,Keyword_Type,Platform_Source,Geo_Focus,Trend_Status
2025-06-20,Bed Frame,bed frames with storage,58,Transactional,Non-Branded,Bing,Canada,Stable
2025-06-18,TV Unit,trending TV unit styles,66,Informational,Branded,Google,India,Emerging
2025-06-18,Office Chair,office chairs under 5000,61,Informational,Product-specific,Amazon,USA,Declining
2025-06-14,Dining Table,affordable dining table styles,55,Transactional,Branded,Pinterest,Canada,Emerging
2025-06-16,Bookshelf,bookshelf designs for kids,69,Transactional,Long-tail,Bing,Global,Stable
2025-06-14,Running Shoes,top performance running shoes,87,Informational,Branded,YouTube,Canada,Declining
2025-06-14,Bed Frame,budget-friendly modular furniture,84,Informational,Product-specific,Bing,India,Peaking
2025-06-19,TV Unit,best TV unit designs,65,Informational,Product-specific,Bing,India,Stable
2025-06-16,Running Shoes,running shoes under 3000,94,Informational,Branded,Google,USA,Peaking
2025-06-16,Running Shoes,running shoes under 3000,69,Informational,Long-tail,Pinterest,USA,Emerging
2025-06-19,Running Shoes,beginner running shoes,78,Navigational,Non-Branded,Bing,Global,Peaking
2025-06-18,Running Shoes,lightweight running sneakers,82,Navigational,Non-Branded,YouTube,Canada,Stable
2025-06-17,Sofa,sofa beds for studio apartments,85,Navigational,Product-specific,Google,India,Declining
2025-06-16,Bed Frame,budget-friendly modular furniture,95,Informational,Product-specific,Pinterest,UK,Stable
2025-06-16,Kitchen Cabinet,affordable kitchen solutions,84,Navigational,Long-tail,Pinterest,India,Peaking
2025-06-14,TV Unit,floating TV units,88,Transactional,Product-specific,Pinterest,UK,Peaking
2025-06-16,Bookshelf,bookshelf designs for kids,90,Informational,Branded,Bing,Canada,Stable
2025-06-17,Kitchen Cabinet,affordable kitchen solutions,71,Navigational,Branded,Google,Global,Emerging
2025-06-19,Sofa,sofa beds for studio apartments,56,Navigational,Product-specific,Google,UK,Emerging
2025-06-15,TV Unit,trending TV unit styles,67,Informational,Branded,YouTube,Canada,Emerging
2025-06-15,Bookshelf,minimalist bookshelf deals,88,Transactional,Long-tail,Google,USA,Declining
2025-06-14,Sofa,sofa beds for studio apartments,98,Informational,Product-specific,Amazon,UK,Emerging
2025-06-16,Bookshelf,minimalist bookshelf deals,90,Transactional,Product-specific,Google,Canada,Stable
2025-06-20,Wardrobe,top wardrobe picks,56,Transactional,Branded,Google,Canada,Emerging
2025-06-14,TV Unit,trending TV unit styles,96,Informational,Non-Branded,Google,India,Peaking
2025-06-14,Water Bottle,eco-friendly water bottles,95,Navigational,Branded,YouTube,India,Peaking
2025-06-15,Running Shoes,running shoes for gym and track,94,Navigational,Long-tail,Pinterest,UK,Peaking
2025-06-15,Dining Table,dining table sets for 6-seaters,93,Informational,Branded,YouTube,Global,Stable
2025-06-20,Dining Table,foldable dining table designs,58,Informational,Product-specific,Amazon,Canada,Emerging
